CODIGO_POSTAL,CODIGO_MUNICIPIO,edad_media,p_poblacion_menor_de_18,p_poblacion_mayor_65,media_personas_por_hogar,poblacion_municipio,poblacion_cp,crecimiento_poblaconal_2015,renta_media_por_persona,renta_media_por_hogar,p_suelo_urbano,p_agropecuario,p_cultural,p_deportivo,p_industrial,p_oficina,p_otros,p_publico,p_residencial,p_retail,p_salud,p_solteros,p_casados,p_viudos,p_separados,p_divorciados,p_extranjeros,p_hogares_unipersonales,p_ocup_agropecuaria,p_ocup_pesca,p_ocup_mineria,p_ocup_manufactura,p_ocup_dirstr_gas_elec_agua,p_ocup_construccion,p_ocup_taller_automotriz,p_ocup_hosteleria,p_ocup_transporte,p_ocup_financiera,p_ocup_inmobiliarias,p_ocup_adm_publica,p_ocup_educacion,p_ocup_medicina,p_ocup_otros,p_casas_con_servicio_domestico,prop_masculinidad,prop_reemplazamiento,prop_dependientes,prop_analfabetas,prop_paro
28909,28065,41.3,18.5,18.7,2.64,176781,4769,0.0132,11811,31763,0.2424,0.017267866,0.001553017,0.000671575,0.013137681,0.009846965,0.271425333,0.00039455,0.647221779,0.037826448,0.000654785,0.482,0.47,0.031,0.01,0.006,0.02327532,0.065671642,0.014425851,0,0.001154068,0.185804962,0.007501443,0.109636469,0.156376226,0.049047894,0.109059435,0.044431621,0.077899596,0.084824005,0.046162724,0.063473745,0.043854587,0.00577034,100,1.9,0.4,1.3,21.7
28911,28074,42.6,17.9,21.1,2.66,185742,23739,0.0023,11211,30164,0.2357,0.018799895,0.001693131,0.001131678,0.016764628,0.01397491,0.216896219,0.003114308,0.675190806,0.051908062,0.000526362,0.466,0.474,0.046,0.01,0.005,0.021694258,0.10056338,0.006539114,0,0.000847663,0.202591426,0.003390651,0.156696537,0.182247518,0.057398886,0.078953742,0.02397675,0.049285541,0.086945992,0.035480746,0.048558973,0.044320659,0.022402519,98.7,1.3,0.3,2.3,25.7
28912,28074,42.6,17.9,21.1,2.66,185742,30559,0.0023,11211,30164,0.2357,0.018799895,0.001693131,0.001131678,0.016764628,0.01397491,0.216896219,0.003114308,0.675190806,0.051908062,0.000526362,0.462,0.479,0.044,0.01,0.004,0.02437907,0.09309669,0.006298046,0,0.00055571,0.22052422,0.005464481,0.155320922,0.164119663,0.055941465,0.0915069,0.019912939,0.054922664,0.079003427,0.036121145,0.042419191,0.0429749,0.024636473,100.3,1.3,0.3,1.9,24.5
28913,28074,42.6,17.9,21.1,2.66,185742,20846,0.0023,11211,30164,0.2357,0.018799895,0.001693131,0.001131678,0.016764628,0.01397491,0.216896219,0.003114308,0.675190806,0.051908062,0.000526362,0.454,0.485,0.049,0.008,0.004,0.022066584,0.103275349,0.006079027,0,0.000967118,0.20668693,0.005250069,0.186239293,0.161646864,0.053329649,0.081099751,0.016717325,0.046421663,0.087731418,0.034678088,0.039375518,0.045454545,0.028184581,98.4,1.2,0.3,2.1,25.8
28914,28074,42.6,17.9,21.1,2.66,185742,10313,0.0023,11211,30164,0.2357,0.018799895,0.001693131,0.001131678,0.016764628,0.01397491,0.216896219,0.003114308,0.675190806,0.051908062,0.000526362,0.48,0.485,0.023,0.008,0.004,0.020362649,0.053665381,0.005556959,0,0.001262945,0.21267997,0.004546603,0.110381409,0.169739833,0.035362465,0.063905027,0.038898712,0.063147259,0.104066684,0.06819904,0.069461985,0.045213438,0.007325082,100.5,1.8,0.3,1.2,19.7
28915,28074,42.6,17.9,21.1,2.66,185742,60457,0.0023,11211,30164,0.2357,0.018799895,0.001693131,0.001131678,0.016764628,0.01397491,0.216896219,0.003114308,0.675190806,0.051908062,0.000526362,0.473,0.474,0.039,0.009,0.005,0.016573763,0.076129694,0.003136006,9.65E-05,0.000627201,0.236551358,0.004969364,0.126984127,0.173734742,0.0623824,0.092391567,0.027066146,0.051430501,0.077290491,0.034689053,0.045592705,0.04346987,0.0192985,98.6,1.2,0.3,1.3,24.7
28916,28074,42.6,17.9,21.1,2.66,185742,16250,0.0023,11211,30164,0.2357,0.018799895,0.001693131,0.001131678,0.016764628,0.01397491,0.216896219,0.003114308,0.675190806,0.051908062,0.000526362,0.482,0.49,0.015,0.009,0.004,0.019569231,0.037358239,0.003046336,0.000160333,0.000641334,0.217412217,0.007375341,0.071508738,0.168350168,0.045374379,0.103896104,0.05371172,0.064133397,0.095077762,0.066859067,0.054834055,0.037678371,0.009780343,101.5,2,0.4,0.4,17.6
28917,28074,42.6,17.9,21.1,2.66,185742,12429,0.0023,11211,30164,0.2357,0.018799895,0.001693131,0.001131678,0.016764628,0.01397491,0.216896219,0.003114308,0.675190806,0.051908062,0.000526362,0.481,0.458,0.044,0.011,0.005,0.030412744,0.102838779,0.006952491,0,0.00023175,0.19235226,0.003244496,0.195133256,0.162920046,0.060023175,0.074391657,0.023174971,0.054692932,0.072769409,0.022247972,0.042178447,0.053997683,0.035457706,99.3,1.5,0.3,3.3,26.9
28918,28074,42.6,17.9,21.1,2.66,185742,34793,0.0023,11211,30164,0.2357,0.018799895,0.001693131,0.001131678,0.016764628,0.01397491,0.216896219,0.003114308,0.675190806,0.051908062,0.000526362,0.4708460134,0.02337188071,0.01545952526,0.008155812538,0.01539866099,0.06062896111,0.1967983738,0.0111,0,0.0027,0.0346,0.0025,0.1594,0,0.1004,0.0962,0.0077,0.0257,0.0496,0.0284,0.0336,0.4482,0.021012172,96.62616558,1.200809121,0.53205699,0.2858561975,19.03353183
28919,28074,42.6,17.9,21.1,2.66,185742,26189,0.0023,11211,30164,0.2357,0.018799895,0.001693131,0.001131678,0.016764628,0.01397491,0.216896219,0.003114308,0.675190806,0.051908062,0.000526362,0.4908379974,0.0131871502,0.01709729357,0.01150042168,0.01173043012,0.05595964655,0.1826864177,0.0111,0,0.0027,0.0346,0.0025,0.1594,0,0.1004,0.0962,0.0077,0.0257,0.0496,0.0284,0.0336,0.4482,0.021012172,96.20167815,1.218549581,0.489334931,1.876260386,19.03353183
28921,28007,42.7,18.3,21.4,2.65,166944,31478,0.0016,11941,32499,0.3101,0.006735713,0.001411925,0.000597992,0.020879878,0.009941613,0.341096152,0.000573075,0.582228018,0.035190153,0.001345481,0.464,0.471,0.049,0.011,0.005,0.030878709,0.11384204,0.005751849,0,0.000273898,0.170364284,0.004382361,0.153108737,0.176481329,0.072765452,0.087373322,0.026020268,0.060896558,0.097872729,0.030676527,0.040536839,0.047019082,0.026294166,99,1.3,0.3,1.8,25.4
28922,28007,42.7,18.3,21.4,2.65,166944,31253,0.0016,11941,32499,0.3101,0.006735713,0.001411925,0.000597992,0.020879878,0.009941613,0.341096152,0.000573075,0.582228018,0.035190153,0.001345481,0.465,0.485,0.036,0.009,0.005,0.025341567,0.082865775,0.003413268,0,0.000437598,0.169088045,0.003850866,0.129791703,0.185191668,0.069753194,0.085856818,0.033082444,0.064414493,0.099684929,0.046823035,0.041834413,0.044810082,0.021529844,99.5,1.4,0.3,1.2,22.4
28923,28007,42.7,18.3,21.4,2.65,166944,35440,0.0016,11941,32499,0.3101,0.006735713,0.001411925,0.000597992,0.020879878,0.009941613,0.341096152,0.000573075,0.582228018,0.035190153,0.001345481,0.484,0.46,0.04,0.01,0.006,0.026213318,0.08900473,0.003515082,0,0.000653969,0.182048557,0.005885719,0.100711191,0.166189814,0.063353225,0.116488188,0.049619881,0.057058775,0.095969917,0.048230197,0.043407177,0.046840513,0.019946048,97.5,1.2,0.3,0.8,22.9
28924,28007,42.7,18.3,21.4,2.65,166944,26247,0.0016,11941,32499,0.3101,0.006735713,0.001411925,0.000597992,0.020879878,0.009941613,0.341096152,0.000573075,0.582228018,0.035190153,0.001345481,0.486,0.457,0.04,0.011,0.007,0.034632529,0.097655744,0.003396667,0,0.000424583,0.171743976,0.006262605,0.069313236,0.178325019,0.045324276,0.081201571,0.073665216,0.079715529,0.098715635,0.078760217,0.055301985,0.0446874,0.012737501,96.6,1.4,0.3,0.4,23.3
28925,28007,42.7,18.3,21.4,2.65,166944,16229,0.0016,11941,32499,0.3101,0.006735713,0.001411925,0.000597992,0.020879878,0.009941613,0.341096152,0.000573075,0.582228018,0.035190153,0.001345481,0.458,0.469,0.053,0.012,0.007,0.031856553,0.129357088,0.004563123,0,0.000507014,0.184552983,0.005577151,0.082136218,0.185229001,0.048335305,0.089403414,0.058644583,0.075376035,0.09481156,0.054588474,0.046645259,0.051884401,0.017745479,95.3,1.3,0.3,0.7,22.9
28931,28092,41.8,17,17.9,2.78,203472,43827,0.0033,10698,30231,0.381,0.007758139,0.001227013,0.000877547,0.008845365,0.005273049,0.301231672,0.00017085,0.629783797,0.043683213,0.001149354,0.48,0.462,0.039,0.012,0.007,0.032856458,0.098326681,0.004696753,0,0.00061262,0.192907222,0.004220271,0.154652508,0.178136274,0.071812674,0.078891839,0.028997345,0.061738479,0.082839834,0.033557961,0.039343816,0.045401947,0.022054319,97.8,1.4,0.3,1.6,26.5
28932,28092,41.8,17,17.9,2.78,203472,17693,0.0033,10698,30231,0.381,0.007758139,0.001227013,0.000877547,0.008845365,0.005273049,0.301231672,0.00017085,0.629783797,0.043683213,0.001149354,0.495,0.459,0.031,0.01,0.006,0.03950715,0.076099881,0.003175134,0,0.000167112,0.16493984,0.00651738,0.089237968,0.172794118,0.048128342,0.08940508,0.056818182,0.065675134,0.113135027,0.069351604,0.05381016,0.048295455,0.018382353,96.9,1.2,0.3,0.5,22.6
